file,original,transformed,n,n_observed,unique_original,unique_transformed,same_missingness,increasing_weak_order,decreasing_weak_order,median_scale,max_relative_scaling_error
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_1,p7_5_schexpenditures_1_PPP,8239,1493,805,793,True,False,False,0.021510002136230468,4.793115337846377e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_10,p7_5_schexpenditures_10_PPP,8239,29,24,24,True,True,False,0.021510001961800994,3.085913631497702e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_10_trim,p7_5_schexpenditures_10_trim_PPP,8239,29,24,24,True,True,False,0.021510001961800994,3.085913631497702e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_10_wins,p7_5_schexpenditures_10_wins_PPP,8239,29,24,24,True,True,False,0.021510001961800994,3.085913631497702e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_11,p7_5_schexpenditures_11_PPP,8239,11,10,10,True,True,False,0.021510002690327927,1.1785714125251675e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_11_trim,p7_5_schexpenditures_11_trim_PPP,8239,11,10,10,True,True,False,0.021510002690327927,1.1785714125251675e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_11_wins,p7_5_schexpenditures_11_wins_PPP,8239,11,10,10,True,True,False,0.021510002690327927,1.1785714125251675e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_12,p7_5_schexpenditures_12_PPP,8239,3,3,3,True,True,False,0.021510001940604966,1.3991737807113061e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_12_trim,p7_5_schexpenditures_12_trim_PPP,8239,3,3,3,True,True,False,0.021510001940604966,1.3991737807113061e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_12_wins,p7_5_schexpenditures_12_wins_PPP,8239,3,3,3,True,True,False,0.021510001940604966,1.3991737807113061e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_1_trim,p7_5_schexpenditures_1_trim_PPP,8239,1479,791,779,True,False,False,0.021510002136230468,5.6541573770624015e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_1_wins,p7_5_schexpenditures_1_wins_PPP,8239,1493,791,779,True,False,False,0.021510002136230468,5.6541573770624015e-08
GE_HH-Analysis_AllHHs.dta,p7_5_schexpenditures_2,p7_5_schexpenditures_2_PPP,8239,4378,1621,1592,True,False,False,0.021510002136230468,2.728388787107861e-08
