"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","strong_reversal_025",20,0,0,0,0,0
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.000172011302431786,0.000289754967827103,6.47911804879668e-05,3.64018031569615e-05,0.000307620801706611
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0,0,0,0,0
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","reversal_given_true_margin_010",20,0.0420585257868276,0.0290032035489262,0.00648531347006621,0.0284846086936008,0.0556324428800544
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","reversal_given_true_margin_025",20,0.00344733793127998,0.00360429477381745,0.000805944812520305,0.00176047605214939,0.00513419981041058
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.059059580222242,0.0431905728560906,0.00965770568933758,0.0388457699040624,0.0792733905404215
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.0228047568402643,0.0308941163697305,0.00690813443075065,0.00834586530561697,0.0372636483749117
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00228732668206445,0.00183715747968361,0.000410800900994475,0.00142751051471041,0.00314714284941849
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.00561029720649752,0.00475364618105005,0.00106294760018102,0.00338552231074306,0.00783507210225198
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","mean_absolute_prediction_change",20,0.0748139738581087,0.00486259898223815,0.00108731018716058,0.0725382074817784,0.077089740234439
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","cate_correlation",20,0.875842006674815,0.0049662709564988,0.00111049194534142,0.873517720320989,0.878166293028642
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","cate_rank_correlation",20,0.78950582986494,0.00872652648535698,0.00195131064287105,0.785421689751788,0.793589969978092
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","sign_reversal",20,0.280095,0.044391929716747,0.00992633724990393,0.259318937363782,0.300871062636218
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","positive_to_negative",20,0.035005,0.0438157122542916,0.00979749110831665,0.0144986154374417,0.0555113845625583
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","negative_to_positive",20,0.24509,0.00367339255532227,0.000821395546174226,0.243370799363674,0.246809200636326
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","strong_reversal_010",20,0.194683333333333,0.0467755390415929,0.0104593284981197,0.17279170719381,0.216574959472856
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","strong_reversal_025",20,0.00527333333333333,0.00500359636743284,0.00111883816095508,0.00293157814946439,0.00761508851720228
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","reversal_given_estimated_margin_010",20,0.250262818129445,0.0481268721759415,0.0107614957729848,0.227738748615174,0.272786887643716
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","reversal_given_estimated_margin_025",20,0.0102750314488824,0.00954441026934535,0.00213419501674033,0.00580810994204656,0.0147419529557183
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","reversal_given_true_margin_010",20,0.180554812687907,0.050375426644284,0.0112642878372173,0.156978387288832,0.204131238086982
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","reversal_given_true_margin_025",20,0.0467402468024959,0.0584900613866625,0.0130787753268713,0.0193660554411524,0.0741144381638394
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.141783997889364,0.00216222904576504,0.000483489112925514,0.140772043545967,0.142795952232762
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.0410094574655759,0.0501388308718808,0.0112113834141891,0.0175437622964839,0.0644751526346679
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.000486859168985819,0.000416149087105284,9.30537647541896e-05,0.000292095401002048,0.00068162293696959
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.0469204101189802,0.0585436005567617,0.0130907470492514,0.0195211616547225,0.0743196585832379
"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","mean_absolute_prediction_change",20,0.257690644328175,0.00609943423593926,0.00136387495758497,0.254836021234745,0.260545267421606
"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","cate_correlation",20,0.827664969717717,0.00742549245970723,0.00166039059063175,0.824189732271812,0.831140207163623
"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","cate_rank_correlation",20,0.786135106561439,0.00623986559428545,0.00139527636392844,0.783214759569189,0.789055453553689
